CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-1-16,44,39,34,39,37,34,100,88,76,30.30,30.16,29.97,5,2,0,9,4,15,T,8,Fog,73
2010-1-17,41,37,32,36,33,30,100,90,79,30.00,29.93,29.88,10,4,0,14,9,18,0.00,7,Fog,320
2010-1-18,46,40,34,39,36,34,100,86,71,30.05,30.00,29.94,5,2,0,13,5,15,T,8,Fog,235
2010-1-19,39,36,32,36,34,31,100,93,85,30.01,29.95,29.87,4,2,0,14,7,18,0.00,8,Fog,77
2010-1-20,45,41,36,44,39,35,100,96,92,29.89,29.74,29.65,2,0,0,16,10,21,0.11,8,Fog-Rain,98
2010-1-21,43,39,35,43,38,33,100,96,92,29.79,29.63,29.53,9,2,0,16,11,20,0.29,8,Fog-Rain,34
2010-1-22,40,37,34,38,35,33,100,93,85,29.96,29.90,29.78,9,3,1,15,7,18,T,8,,21
2010-1-23,53,46,39,48,45,37,100,92,83,29.87,29.61,29.34,10,4,2,24,13,29,0.43,8,Rain-Thunderstorm,135
2010-1-24,50,42,33,47,39,24,93,81,69,29.53,29.40,29.21,10,9,3,24,13,31,0.09,7,Rain,258
2010-1-25,36,33,29,27,23,17,69,64,59,29.81,29.61,29.47,10,7,2,30,19,40,T,8,Snow,272
2010-1-26,31,26,21,19,15,10,74,64,53,30.25,30.06,29.79,10,8,2,25,12,35,0.01,6,Snow,292
2010-1-27,38,31,23,31,26,18,92,72,52,30.31,30.23,30.15,10,6,1,20,5,28,0.05,7,Rain-Snow,189
2010-1-28,31,25,19,27,12,8,85,68,50,30.59,30.48,30.27,10,10,8,25,10,32,0.00,6,,348
2010-1-29,22,19,16,12,8,6,68,62,56,30.53,30.40,30.25,10,10,9,16,11,21,T,8,Snow,51
2010-1-30,33,26,19,13,12,9,73,54,35,30.28,30.23,30.18,10,10,10,15,8,18,0.00,4,,10
2010-1-31,41,30,19,20,16,12,73,55,37,30.36,30.31,30.27,10,10,8,9,2,13,0.00,2,,284
2010-2-1,39,32,25,22,20,17,68,58,48,30.31,30.22,30.09,10,10,9,17,8,21,0.00,6,,145
2010-2-2,41,34,27,30,24,18,76,62,47,30.27,30.12,30.05,10,9,6,17,9,22,T,7,Snow,273
2010-2-3,38,30,22,23,19,15,84,64,44,30.41,30.34,30.27,8,7,5,12,4,14,0.00,3,,27
2010-2-4,38,34,29,32,27,23,96,80,64,30.36,30.20,30.05,6,4,2,13,9,15,0.12,8,Rain-Snow,91
2010-2-5,37,36,34,36,33,30,96,93,89,30.04,29.82,29.70,3,2,1,18,10,25,0.67,8,Rain-Snow,36
2010-2-6,35,31,27,31,25,21,89,76,63,30.23,30.06,29.82,10,8,2,5,11,8,T,6,Snow,7
2010-2-7,36,30,23,23,21,18,88,72,56,30.24,30.18,30.12,10,10,9,12,4,14,0.00,4,,96
2010-2-8,32,30,28,27,26,21,92,81,69,30.15,30.07,30.00,10,3,1,13,8,16,0.12,8,Snow,110
2010-2-9,29,20,11,27,12,1,92,73,53,30.10,30.01,29.95,10,6,2,26,17,33,0.04,6,Snow,281
2010-2-10,31,25,19,21,18,14,81,72,63,30.28,30.23,30.11,10,10,9,25,14,32,T,4,Snow,294
2010-2-11,37,26,14,21,16,11,88,66,44,30.28,30.20,30.13,10,9,5,9,3,10,0.00,3,Rain,303
2010-2-12,36,31,26,28,24,19,85,73,61,30.13,30.05,29.99,10,8,5,8,3,10,T,8,Snow,21
2010-2-13,37,32,27,26,24,22,85,72,59,30.08,30.03,29.98,10,9,6,10,4,12,T,7,Snow,51
2010-2-14,32,26,20,29,23,16,92,82,72,29.97,29.93,29.88,10,3,0,25,9,31,0.19,8,Snow,337
2010-2-15,26,22,17,21,15,10,88,76,63,30.06,29.96,29.87,10,6,1,21,14,26,0.01,8,Snow,287
2010-2-16,33,28,22,23,19,15,88,76,63,30.12,30.07,30.01,10,9,2,23,15,31,T,5,Snow,287
2010-2-17,35,27,19,18,14,10,68,58,47,30.17,30.12,30.08,10,10,10,17,12,24,0.00,4,,287
2010-2-18,43,33,23,20,15,13,63,50,36,30.24,30.20,30.15,10,10,10,14,7,18,0.00,1,,291
2010-2-19,43,33,23,33,22,16,76,56,36,30.26,30.19,30.12,10,10,7,15,5,18,0.01,6,Rain,119
2010-2-20,55,46,36,39,34,30,85,68,50,30.13,30.10,30.08,10,10,6,12,7,16,T,7,Rain,38
2010-2-21,43,40,37,41,38,35,93,89,85,30.07,29.90,29.73,7,2,0,13,7,16,0.86,8,Rain,63
2010-2-22,38,33,27,36,29,21,100,85,69,30.00,29.88,29.74,9,6,1,21,12,25,0.07,7,Rain-Snow,312
2010-2-23,39,31,23,23,19,15,81,63,44,30.10,30.03,29.97,10,9,6,22,11,29,T,6,Snow,298
2010-2-24,30,23,16,17,12,9,74,62,50,30.21,30.14,30.06,10,8,3,14,13,20,T,4,Snow,299
2010-2-25,38,27,15,22,15,8,73,61,48,30.27,30.22,30.18,10,10,10,13,6,16,0.00,1,,323
2010-2-26,41,31,20,20,16,13,84,59,34,30.21,30.15,30.07,10,10,6,15,6,20,0.00,1,,312
2010-2-27,42,33,24,23,17,12,68,56,43,30.06,30.03,29.98,10,10,10,20,10,24,0.00,3,,297
2010-2-28,47,36,24,28,21,13,75,59,43,30.17,30.10,30.05,10,10,10,14,8,17,0.00,3,,315
2010-3-1,39,34,28,30,28,24,85,77,69,30.25,30.19,30.15,10,9,6,14,6,17,T,7,,358
2010-3-2,45,37,29,29,26,23,82,66,49,30.16,30.09,30.03,10,9,8,17,10,22,0.00,7,,353
2010-3-3,46,35,24,27,22,18,85,61,37,30.18,30.11,30.06,10,8,4,17,8,25,0.00,2,,323
2010-3-4,50,37,24,24,18,14,75,51,26,30.27,30.22,30.17,10,10,7,9,3,14,0.00,1,,324
2010-3-5,52,39,25,25,20,17,75,51,26,30.38,30.32,30.26,10,10,8,12,4,14,0.00,0,,110
2010-3-6,58,43,27,28,23,19,78,51,23,30.41,30.33,30.21,10,10,8,14,8,18,0.00,2,,123
2010-3-7,70,54,37,45,35,25,85,61,36,30.20,30.11,30.02,10,10,8,22,10,26,T,4,Rain,292
2010-3-8,59,49,38,42,38,35,92,70,47,30.16,30.06,29.86,7,5,2,14,7,16,0.00,5,,89
2010-3-9,57,52,47,54,49,39,93,82,71,29.85,29.68,29.56,9,5,1,21,13,26,0.13,8,Rain,141
2010-3-10,75,64,53,54,51,46,93,65,36,29.61,29.54,29.48,10,9,6,26,12,37,T,4,Rain,167
2010-3-11,68,59,49,55,46,37,93,65,37,29.67,29.53,29.44,10,9,4,25,15,31,0.40,5,Rain-Thunderstorm,206
2010-3-12,50,47,43,43,40,35,92,77,61,29.68,29.62,29.56,10,8,4,15,6,18,0.23,8,Rain,276
2010-3-13,48,46,43,47,44,39,96,91,86,29.61,29.54,29.50,10,5,2,17,12,21,0.21,8,Rain,286
2010-3-14,49,47,45,46,43,40,93,87,80,30.00,29.79,29.61,10,6,2,20,11,25,0.03,8,Rain,340
2010-3-15,54,50,45,43,41,38,86,73,59,30.23,30.12,29.99,10,10,10,20,7,25,0.00,7,,356
2010-3-16,58,52,45,44,41,37,83,69,54,30.27,30.22,30.19,10,9,7,16,8,20,0.00,7,,334
2010-3-17,61,53,44,43,42,39,92,69,46,30.21,30.16,30.09,10,7,3,13,7,17,0.00,6,,326
2010-3-18,64,52,40,45,40,36,100,69,37,30.14,30.08,29.97,10,5,0,12,5,18,0.00,4,Fog,279
2010-3-19,68,56,43,40,36,34,76,52,27,29.98,29.93,29.88,10,10,9,17,5,21,0.00,5,,209
2010-3-20,58,48,37,41,37,34,86,69,51,30.03,29.98,29.88,10,10,7,21,11,26,0.03,7,Rain,5
2010-3-21,44,41,37,41,37,34,92,87,82,30.01,29.90,29.83,10,6,3,22,14,29,0.28,8,Rain,23
2010-3-22,60,51,41,42,38,34,89,70,51,29.89,29.85,29.80,10,9,8,20,9,28,0.03,6,Rain,341
2010-3-23,71,55,39,43,34,26,86,54,22,29.96,29.92,29.88,10,10,8,13,5,18,0.00,2,,206
2010-3-24,73,59,45,45,42,39,76,54,31,29.98,29.90,29.81,10,10,10,21,7,28,0.00,7,,155
2010-3-25,59,48,36,49,43,29,93,75,57,30.01,29.77,29.69,10,6,2,33,13,47,0.74,7,Rain,18
2010-3-26,52,41,29,31,25,20,69,51,32,30.19,30.10,30.04,10,10,10,14,7,18,0.00,3,,72
2010-3-27,59,49,39,46,36,29,71,62,52,30.04,29.86,29.64,10,10,10,26,13,32,0.01,7,Rain,121
2010-3-28,57,50,43,48,42,32,93,69,45,29.98,29.73,29.59,10,8,4,23,12,30,0.26,7,Rain,315
2010-3-29,61,49,36,39,36,30,92,64,36,30.05,29.99,29.96,10,9,6,10,4,14,0.00,2,,359
2010-3-30,73,57,41,43,37,33,65,45,25,29.99,29.90,29.80,10,10,10,22,11,28,0.00,3,,152
2010-3-31,86,71,55,47,44,41,61,41,21,29.81,29.73,29.66,10,10,9,24,13,32,0.00,3,,173
2010-4-1,87,74,60,53,48,45,60,43,26,29.83,29.76,29.69,10,10,10,24,14,32,0.00,4,,165
2010-4-2,81,69,56,57,51,44,87,63,39,29.83,29.74,29.63,10,9,4,28,14,36,0.10,7,Rain,194
2010-4-3,68,60,51,53,44,34,93,61,29,30.01,29.88,29.74,10,9,4,23,9,28,0.32,5,Rain,212
2010-4-4,83,68,52,61,50,42,77,53,28,30.01,29.91,29.78,10,10,7,28,15,36,0.25,7,Rain-Thunderstorm,173
2010-4-5,83,72,61,68,63,57,97,70,43,30.03,29.91,29.77,10,7,2,18,8,25,0.27,6,Rain-Thunderstorm,182
2010-4-6,87,78,69,59,55,52,66,49,32,29.77,29.62,29.51,10,10,10,28,16,36,0.00,4,,201
2010-4-7,78,64,50,61,53,42,77,56,35,29.73,29.62,29.55,10,10,9,29,15,35,T,5,Rain-Thunderstorm,251
2010-4-8,61,53,45,41,36,30,76,54,32,29.97,29.88,29.75,10,10,10,22,12,33,0.00,4,,306
2010-4-9,71,56,41,35,32,24,76,49,21,30.13,30.08,29.99,10,10,10,16,5,21,0.00,0,,238
2010-4-10,77,65,52,40,37,33,59,41,23,30.24,30.17,30.12,10,10,10,22,9,25,0.00,1,,176
2010-4-11,82,69,56,46,42,38,51,38,25,30.25,30.21,30.17,10,10,10,12,6,14,0.00,3,,194
2010-4-12,80,68,55,49,45,43,72,50,28,30.27,30.20,30.13,10,10,10,17,8,24,0.00,2,,154
2010-4-13,84,69,54,49,45,43,72,48,24,30.26,30.19,30.13,10,10,10,16,6,21,0.00,2,,152
2010-4-14,86,71,56,51,45,39,77,49,20,30.34,30.26,30.20,10,10,10,20,9,26,0.00,1,,161
2010-4-15,86,75,63,55,50,45,57,43,29,30.28,30.21,30.15,10,10,10,21,9,29,0.00,3,,213
2010-4-16,76,64,51,59,53,42,84,69,54,30.16,30.12,30.10,10,10,7,23,10,26,0.02,6,Rain,293
2010-4-17,67,56,44,42,31,23,77,49,20,30.24,30.17,30.13,10,10,10,16,6,21,0.00,3,,355
2010-4-18,67,55,42,40,32,25,76,50,23,30.22,30.17,30.13,10,10,10,15,5,21,0.00,5,,31
2010-4-19,66,57,47,38,35,31,61,45,28,30.20,30.13,30.07,10,10,10,13,4,17,0.00,7,,50
2010-4-20,72,59,46,43,38,34,82,54,25,30.06,29.99,29.91,10,10,10,14,3,17,0.00,4,,299
2010-4-21,76,63,49,46,41,37,71,49,27,29.91,29.86,29.80,10,10,10,10,3,23,T,4,Rain,274
2010-4-22,74,64,53,59,52,45,90,66,41,29.84,29.82,29.77,10,7,2,13,7,16,0.37,7,Rain,95
2010-4-23,77,68,59,65,60,57,93,77,60,29.81,29.73,29.58,10,5,2,25,13,35,0.13,8,Rain-Thunderstorm,123
2010-4-24,68,63,57,63,60,52,93,83,72,29.69,29.40,29.18,10,7,1,37,14,52,0.78,8,Rain-Hail-Thunderstorm,142
